id,fuente_url,texto_espanol,texto_guarani,categoria,fecha_crawleo
da6f1d44-7504-4c28-a797-7a860719d9eb,https://www.portalguarani.com/,DULCE VENENO,Letra: MANUEL ORTÍZ GUERRERO,preview,2026-08-07T19:13:54.807256+00:00
6f46b459-da0f-447e-9b43-002e766ace62,https://www.portalguarani.com/,VIDEO OFICIAL,HIMNO AL BICENTENARIO- JORGE CASTRO,preview,2026-08-07T19:13:54.807256+00:00
156ac851-c745-49d1-b497-cd8d4ce9da69,https://www.portalguarani.com/,ALFONSO LOMA,Composición de PEDRO GODOY ORTELLADO,preview,2026-08-07T19:13:54.807256+00:00
9eb0caf1-f869-4d1c-9a60-edfffded743b,https://www.portalguarani.com/,CONFESIONES DE UN FETICHE,Video de ERIKA MEZA y JAVIER LÓPEZ,preview,2026-08-07T19:13:54.807256+00:00
23403d73-dd70-443b-8359-78c9b5bf1a0a,https://www.portalguarani.com/,"""Cuatro miradas, un diálogo"" Homenaje a Osvaldo Camperchioli",Marta Rocío Benítez,preview,2026-08-07T19:13:54.807256+00:00
cfd4887e-0ecc-462c-87eb-736ad7fc8004,https://www.portalguarani.com/,"""Cuatro miradas, un diálogo"" Homenaje a Osvaldo Camperchioli",Adriana Duarte,preview,2026-08-07T19:13:54.807256+00:00
9f54fecd-2d68-4b11-b590-aad9d5908ec7,https://www.portalguarani.com/,DESASOSIEGO,Exposición de Carlos Rolandi,preview,2026-08-07T19:13:54.807256+00:00
1c99cc66-c867-48fd-b0f4-7ebdc243b74e,https://www.portalguarani.com/,LA HISTORIA IMPERFECTA,Exposición de Bettina Brizuela,preview,2026-08-07T19:13:54.807256+00:00
d4e63211-66a8-4d0d-9454-d49bd8878789,https://www.portalguarani.com/,"Exposición de Esculturas, Campo de Apariciones",Luis Torres,preview,2026-08-07T19:13:54.807256+00:00
6a97696a-0dae-4980-b78e-226a04eadad5,https://www.portalguarani.com/,"Exposición ""El arte se muestra a todos""",Diego Céspedes,preview,2026-08-07T19:13:54.807256+00:00
deea25ed-0dd6-4aa6-88f4-5d14ecc6114a,https://www.portalguarani.com/,Retrospectiva,Exposición de Luis Cogliolo,preview,2026-08-07T19:13:54.807256+00:00
2b1a7559-e547-4e24-8f85-d94c0133051b,https://www.portalguarani.com/,"""Cuatro miradas, un diálogo"" Homenaje a Osvaldo Camperchioli",Carolina Pedro,preview,2026-08-07T19:13:54.807256+00:00
9d52b8ad-ff5d-463c-8a2c-d49796932625,https://www.portalguarani.com/,"""Entramados del Alma""",Lilia Puentes,preview,2026-08-07T19:13:54.807256+00:00
37fd69fd-21c8-443c-971b-e7618c3312cb,https://www.portalguarani.com/,"Nada es semejante, Vitrales de Marcelo Medina",Marcelo Medina,preview,2026-08-07T19:13:54.807256+00:00
f763b51a-bc68-458e-8a38-fe964ab0d87c,https://www.portalguarani.com/,Testimonios,Una retrosprectiva sobre la trayectoria de Gloria del Paraguay,preview,2026-08-07T19:13:54.807256+00:00
36eeb76d-9272-4194-92ba-87f54ee1f260,https://www.portalguarani.com/,"VIRIL, pinturas de Alfredo Quiroz",Alfredo Quiroz,preview,2026-08-07T19:13:54.807256+00:00
f8475a59-a600-4128-be03-34895bedc79b,https://www.portalguarani.com/,"""Cuatro miradas, un diálogo"" Homenaje a Osvaldo Camperchioli",Gabriela Díaz de Espada,preview,2026-08-07T19:13:54.807256+00:00
d74809c4-1323-4a4c-93c4-7368d1ae09c2,https://www.portalguarani.com/,"CAMPAÑA DEL PARAGUAY, PREMIO POR LA BATALLA DE TUYUTÍ",24 DE MAYO DE 1866 - CONGRESO NACIONAL DE LA REPÚBLICA ARGENTINA,preview,2026-08-07T19:13:54.807256+00:00
f4190692-2ec6-4042-ac18-b8d36338f363,https://www.portalguarani.com/,MONEDAS DEL PARAGUAY 1790,2015 / PARAGUAYAN COINS - 2007 - 100 - 500 y 1.000 GUARANÍES (ALMA DE ACERO MACIZO y COBERTURA DE NÍQUEL),preview,2026-08-07T19:13:54.807256+00:00
5bcf307c-6eb4-4298-84da-32e058f08243,https://www.portalguarani.com/,HISTORIA DE LA MONEDA EN PARAGUAY,ÉPOCA PRE-HISPÁNICA (BANCO CENTRAL DEL PARAGUAY),preview,2026-08-07T19:13:54.807256+00:00
9297dfaa-8c84-44b3-95de-4e10b6818a95,https://www.portalguarani.com/,MONEDAS DEL PARAGUAY 1790,2015 / PARAGUAYAN COINS - 1983 - 100.000 GUARANÍES - CONMEMORACIÓN AL PERIODO PRESIDENCIAL DEL GENERAL ALFREDO STROEESNER (1983 – 1988) - ACUÑADA EN ORO,preview,2026-08-07T19:13:54.807256+00:00
0c61d9d6-8693-4fd4-b1da-32c58ad5eebc,https://www.portalguarani.com/,BANDA DE LA ORDEN NACIONAL DEL MÉRITO,"CUARTEL GENERAL EN PASO PUCÚ, 14 DE SETIEMBRE DE 1867",preview,2026-08-07T19:13:54.807256+00:00
7ab90b75-e95b-4f4d-80d0-43188d71d748,https://www.portalguarani.com/,KM# 8 20 CENTAVOS,AÑO 1903 - MONEDAS DE PARAGUAY,preview,2026-08-07T19:13:54.807256+00:00
2a624e2c-c607-4fea-94c3-a24847c0738a,https://www.portalguarani.com/,KM# 13 PESO,AÑO 1925 - MONEDAS DE PARAGUAY,preview,2026-08-07T19:13:54.807256+00:00
3e1b927b-8aa1-4f6a-ace8-504ab246bdf3,https://www.portalguarani.com/,CREACIÓN DE BANCOS,1936 - BANCO DE LA REPÚBLICA DEL PARAGUAY - Por ARTURO RAHI,preview,2026-08-07T19:13:54.807256+00:00
1d5cdde2-aacd-4050-a819-699bde8543a0,https://www.portalguarani.com/,MONEDAS DEL PARAGUAY 1790,2015 / PARAGUAYAN COINS - 1998 - 50 y 500 GUARANÍES - ACUÑADAS EN KROPF - ALEMANIA Y EN LA ROYAL MINT - INGLATERRA - METAL: LATÓN (DESMONETIZADAS EN 2011),preview,2026-08-07T19:13:54.807256+00:00
01321e17-a1a7-43df-825c-1c8b95f39e8e,https://www.portalguarani.com/,BILLETES DEL PARAGUAY 1851,2011 / PARAGUAYAN PAPER MONEY,preview,2026-08-07T19:13:54.807256+00:00
fd55d596-d170-44bd-8816-c3ddf198d952,https://www.portalguarani.com/,CREACIÓN DE BANCOS,1918 - BANCO INDUSTRIAL Y COMERCIAL DEL PARAGUAY (Por ARTURO RAHI),preview,2026-08-07T19:13:54.807256+00:00
710c67bf-1541-4c80-bcd8-ed9465e92f99,https://www.portalguarani.com/,KM# 36 150 GUARANIES,AÑO 1972 - MONEDAS DE PARAGUAY,preview,2026-08-07T19:13:54.807256+00:00
91fb629e-46f1-41d4-9540-a936307e452b,https://www.portalguarani.com/,Diversidad,Muestra de Artes Visuales - Miércoles 6 de marzo de 2019,preview,2026-08-07T19:13:54.807256+00:00
b6e60b42-011a-4d35-a108-e11e7a76389b,https://www.portalguarani.com/,FIESTA DE LOS CHOGUY,OSCAR PÉREZ con LA ALEGRE FÓRMULA NUEVA - Volumen 57,preview,2026-08-07T19:13:54.807256+00:00
c941f9a4-c4e0-4549-ae73-3863b993a10c,https://www.portalguarani.com/,CLÁSICOS Y NUEVOS ÉXITOS,Volumen 66 - OSCAR PÉREZ con LA ALEGRE FÓRMULA NUEVA,preview,2026-08-07T19:13:54.807256+00:00
6b6df548-6d9c-4961-a340-a7159c5c11dd,https://www.portalguarani.com/,Arrimando rimas,Autora: Andrea Piccardo - Año 2018,preview,2026-08-07T19:13:54.807256+00:00
b39cd9d4-3680-4fbf-bb1f-93e610a7aaf7,https://www.portalguarani.com/,REPENSA YRE,Polca de TEODORO S. MONGELÓS y QUEMIL YAMBAY,preview,2026-08-07T19:13:54.807256+00:00
6fcbc72c-46ff-4be5-b2bc-62bfdd043c2e,https://www.portalguarani.com/,Hilda Valenzano,Mi principal fuente de inspiración es la naturaleza - Año 2019,preview,2026-08-07T19:13:54.807256+00:00
7fb89c1c-45dd-4e91-8ef0-2c119cc7bcb4,https://www.portalguarani.com/,EYUMINTE CHE MOIRU,Volumen 25 - ÓSCAR PÉREZ CON LA ALEGRE FÓRMULA NUEVA,preview,2026-08-07T19:13:54.807256+00:00
7d854803-ecc9-4f4d-928f-1857b2962e35,https://www.portalguarani.com/,MÚSICA PARAGUAYA,POLKAS y GUARANIAS (PARA ESCUCHAR EN VIVO),preview,2026-08-07T19:13:54.807256+00:00
9c07a3a3-93c9-46ee-9591-ddb57f1d52f2,https://www.portalguarani.com/,CERCA DE TU CORAZÓN,Autor: ANTONIO OVELAR,preview,2026-08-07T19:13:54.807256+00:00
2e553155-9d14-40d2-a25f-80453ca6c282,https://www.portalguarani.com/,NDAIKUA'AIGUINTE AYAPO,Polca de JOSÉ A. ACUÑA y ANDRÉS C. SALDÍVAR,preview,2026-08-07T19:13:54.807256+00:00
0e44d21b-d8b9-45c6-848d-720ccdeec1d7,https://www.portalguarani.com/,SEIS RAYOS DE PLATA,2da. Edición en Español - Autor: RICHARD D. STOVER - Año 2010,preview,2026-08-07T19:13:54.807256+00:00
2263737f-6ddb-46de-830b-0e887d01e927,https://www.portalguarani.com/,"“La selección”, una nueva apuesta del cine posible","Domingo, 01 de Julio de 2018",preview,2026-08-07T19:13:54.807256+00:00
